order_id,product,rating,amount,date,review
292569,فندق بارك إن الخبر,5,غرفة نزلاء قياسية,أقمت ليلة واحدة,“راح أزور الفندق مرة أخرى إن شاء الله”. 1- وجود قنوات بين سبورتس (الجزيرة الرياضية سابقا). 2- قرب الفندق من مول صغير يحتوي على هايبر بنده و مجموعة من المطاعم و بعض محلات الملابس و العطور. 3- الهدوء. 4- نوعية الصابون و الشامبو. 5- جلسات اللوبي و المقهى.. 1- الواي فاي يقطع. 2- عدد المواقف قليل. 3- موظف الاستقبال ما كان باللطافة المطلوبة.
238695,منتجع وسبا جزيرة المرجان,5,غرفة بريميوم توأم,أقمت ليلة واحدة,“رحله رائعة”. كل شيء المناظر وسبل الترفيه. لاشي
238268,منتجع وسبا جزيرة المرجان,2,غرفة سوبيريور توأم,أقمت ليلة واحدة,“إقامتي غير متوقعه في فندق 5 نجوم”. الموقع + التصميم. ازعاج في الفندقالخدمة غير متوقعهانتظرنا 3 ساعات  للمغادره+إنزال الشنط من الغرفة+ انتظار السيارة
335702,فندق دار الإيمان رويال,5,غرفة توأم,أقمت 3 ليالي,“الفطور والانتر نت”. قرب من الحرم وسهولة الوصول له. الفطور ﻻ يوجد به شيف لعمل البيض غير باقي الفنادق والانترنت مكتوب في بوككغ  مجانا وفي الغرف يجب دفع
207044,جميرا فندق الخور,4,غرفة بريميير كينغ (شخصان بالغان + طفلان),أقمت 3 ليالي,“اقامة عادية”. المشروبات الغازية والماء (المني بار)مجاني،يوجد نقل مجاني من والى دبي مول،ووتربارك باوقات معينة، التقنية الحديثة داخل الغرف.. اسعار قائمة الطعام داخل الغرفة عالية بشكل مبالغ به، وسائد السرير سيئة جدا جدا، في الغرفة التي سكنا بها يوجد باب يوصل بين الغرف وكانت الاصوات تصل الينا كذلك رائحة التدخين مع اني اخترت غرفة لغير المدخنين، عند طلب شئ من الفندق قد يستغرق احضاره وقت طويل،ان كنت ستستخدم التاكسي فاحفظ رقم هاتف الفندق لديك لان بعض التكاسي لا يعرف مكان الفندق.
41974,فندق أنجم مكة,4,غرفة كلاسيكية بسريرين فرديين مطلة على المدينة.,أقمت 6 ليالي,جيد. . الصوت كان مزعج لاتوجد عوازل
191228,حياة ريجنسى مكة,5,غرفة مع سرير بحجم كينغ أو سريرين توأميين,أقمت ليلتين,“من أفضل واحلى الفنادق في جبل عمر ومكة”. أعجبني الموقع و الواي فأي والتصميمات الحديثة للفندق وان أغلب الموظفين من السعودية من أبناء وبنات مكة. التكييف حيث مهما فعلت سيكون بارد جدا من اذا كنت تنام في السوفا بيد المطعم اوسيس وانا أتكلم عن المطعم وليس الموظفين لا يقدم سوى الفطور ولا أتفهم لماذا لا يقفلوه اذا لا يقدمون شيئا بعد الفطور في ذالك الوقت وكانت القائمة نفسها الموجودة في الرومسيرفز  ولكن على ثقة سوف يتغير الوضع لاحقا حيث الفندق حديث جدا
298632,بولمان دبي كريك سيتي سينتر رزيدنسيز,5,شقة بغرفة نوم واحدة (3 بالغين),أقمت ليلة واحدة,“ممتاز”. الاستقبال وخاصة الموظف احمد المصري النظافة في كل شي والغرف نظيفه وكل شي جديد. لا يوجد
211397,فندق الخالدية,4,غرفة مزدوجة كلاسيكية,أقمت ليلة واحدة,رائع. تسجيل دخول+ خروج سريع جدا جدا-- كلمتهم من اجل تمديد وقت تسجيل الخروج .. كانوا متعاونين جدا معي. تصريف مياه الحمام+لايوجد شطاف+مدخل الفندق به اعمال تجديد
217784,لي ميريديان جدة,4,غرفة قياسية مزدوجة أو توأم,أقمت ليلتين,“رائع ماعدا الافطار والانترنت”. نظيف وهادئ والعاملين اخلاقهم جيدة وسرعة اجراءات الدخول والخروج. الافطار لا يرتقي لفندق خمس نجوم
397791,أجنحة تنفيذية من قبل المروج غلوريا,4,-,أقمت 3 ليالي,“راااائع بس غااالي”. نظظظظيف جدا ويفتح النفس ومرتب وماودك تطلع من الغرفة شي جميل. المواقف غير مجانيةسعر الفندق جدا غالي
373099,فندق سويس اوتيل مكة,5,غرفة كلاسيكية مطلة على المدينة.,أقمت ليلتين,“ممتازه جدا”. النظافه والخدمه. عدم وجود خدمة صف السيارات وبعد مواقف السيارات
377961,العنوان دبي مول,5,غرفة ديلوكس مزدوجة,أقمت ليلة واحدة,“راااااالئع”. كل شي اعجبني فيما عدا مطعم الفندق لخدمة الغرف .. 
240869,فندق مودة الواحة,5,-,-,“فندق ممتاز”. الفندق أربعة نجومقريب من الحرم وباب النساء الغربيمواقف السيارات متوفرة بالاضافه لوجود حوش كبير  بجوار الفندق الاستقبال والخدمة ممتازة قيمة ممتازة مقابل المال. الغرف صغيره
155969,جولدن توليب البرشاء,1,غرفة قياسية توأم,أقمت 3 ليالي,“نعم”. الفندق قريب منه محلات المساج. الغرفة سيئةوالحمام صغير رائحة كريهة بالغرفة
19337,فندق المدينة هارموني,2,-,أقمت 5 ليالي,“عدم التزام الفندق بالحجز”. . تم الحجز عن طريق البوكنق وعند وصولي استقبال موظفي الفندق سئ جدا ولم يعطيني نفس الحجز المطلوب وانتظاري 3 ساعات لعدم اعطائ غرفه بحجه لايوجد وبعد ان قلت لهم سوف اتصل على وزاره السياحة تم تأمين الغرفه
379459,منتجع الكوف روتانا - رأس الخيمة,5,غرفة بريميوم توأم,أقمت ليلة واحدة,استثنائي. . لا يوجد وأي فأي مجاني
314924,فندق رامادا جميرا,4,غرفة كلاسيكية كينغ,أقمت ليلة واحدة,“One Day”. 1. موقع قريب من المطار ومن دبي القديمة. The site is close to the airport and the old Dubai .2.  تصميم أثاث الغرفة و الحمام. Design the room and bathroom furniture .3. بهو الفندق جميلlobby of the hotel is beautiful. 1. Bad smell on the part of bed blanket  رائحة بول في غطاء السرير الأخضر (Urine)2. Bad smell on baby bed blanket (Urine) غطاء سرير الطفل رائحته بول 3. Staff respond is very slow. تجاوب طاقم الفندق لطلباتي بطئ. 4. Carpet is dirty . موكيت الفرش متسخ 5. Internet is chargeable. الانترنت برسوم عاليه جدا
315199,فندق رامادا جميرا,2,غرفة كلاسيكية كينغ,أقمت 6 ليالي,مخيب للأمل. . لا يوجد واي فاي مجانا وبعض الخدمات بمقابل مبلغ مالى
311448,فندق وأجنحة رمادا الدمام,1,-,أقمت ليلة واحدة,“زباله”. لاشيء. الغرف سيئة لأبعد الحدود ورائحتها كريهه- تم خصم المبلغ مرتين من حسابي - المدير اسوأ شخص تكلمت معه حيث انه رفض اعادة المبلغ بعد 10 دقائق من تسجيل الدخول وبدون سبب
323587,فندق ريفليكشنز,5,غرفة ديلوكس مزدوجة أو توأم,أقمت ليلتين,“عائلي وجيد”. السعر مقابل الخدمة يعتبر ممتاز ... إزعاج البناء بالجوار امام المدخل يتاح إلى رصف الطريق
65145,بودل الميدان,2,-,أقمت ليلة واحدة,مخيب للأمل. موظف المستقبل محمد المنسي انسان خلوق ومهذب وحسن التعامل مع الناس. نظافة الفندق سيئة جدآ مغير جدآ
255145,فندق موسكو,2,غرفة قياسية مزدوجة,أقمت ليلة واحدة,مخيب للأمل. قربه من الموقع. الفندق ما يصلح لاى شي الا النادى الليلى مدير الفندق سئ جدا فى استقبال العملاء طرد عميل قدامى
31781,فندق السفير,1,غرفة قياسية,أقمت ليلة واحدة,ضعيف جداً. لا شىء. فندق سىء مقابل القمية مرتفعة
399441,وكن للفلل والأجنحة الفندقية,2,شقة من غرفة نوم واحدة مطلة على الحديقة,أقمت ليلة واحدة,مخيب للأمل. وجود حديقة للاطفال ومسبح. عدم نظافة دورة المياة وعدم نظافة غرفة النوم ووقت فتح المسبح سيئ حيث انه يفتح الساعة الثالثة مساء
241803,ميديا روتانا - دبي,4,غرفة نادي روتانا كنغ,أقمت 7 ليالي,جيد. الافطار رائع والخدمه رائعه. عدم توفر الشطاف بدورات المياهاطفاء التحكم بالاضائه والتكييف قبل موعد الخروجب12 ساعهعدم وجود التهويه الطبيعيه للغرف
237897,منتجع وسبا جزيرة المرجان,2,جناح مرجان كينغ مع غرفة معيشة منفصلة,أقمت ليلتين,“جزيرة المرجان”. مساحة الغرفه جيده. التأخير في استلام الغرفه ما يقارب الساعتين والزحمه على الاستقبال وكان هناك مجموعه من الأشخاص معصبين بسبب التأخير ولم يتخذ اي اجراء لحل المشكله وتسجيل الدخول وأخذ المبلغ وبعدها يعلمونك ان الغرفه غير جاهزه وتحتاج ساعه لتجهز وتبقى في الإنتظار ما بين ساعتين إلى ٤ ساعات وإزعاج السيارات على الشارع مزعجه بشكل رهيب مما يؤدي إلى إستيقاض الأطفال في منصف الليل
20441,فندق الجاد المحبس,1,غرفة رباعية كلاسيكية,أقمت ليلة واحدة,“لايصل لمستوى نجمتين”. وجود باص للحرم. شكل الغرفة و شكل دورات المياه و عدم النظافة داخل الغرفة و خارجها الموكيت داخل الغرف و خارجها غير نظيف
391850,فندق مكارم أم القرى,5,غرفة قياسية ثلاثية,أقمت 5 ليالي,“فندق جيد”. الأوتيل نظيف ومرتب وهاديء جدا وخدمة الأفراد جيده. الباصات الكبيرة الموجودة حاليا خدمه سيئه جدا ويتأخر حتي التحرك كانت الميزه العام السابق ان الميني باص الصغير يتحرك بشكل دوري ومنظم وسريع لكن الباصات الجديده كبيره وينتظر السائق حتي يمتليء فكان شيء صعب ولكن للاسف لادخل للفندق بذلك لانها باصات ملك الحكومه
268238,فندق نوازي وثير,4,غرفة ثلاثية,أقمت ليلتين,“جيده لكن مكان الفندق بعيد”. نعم جيد. الافطار
381967,ذا أوبروي دبي,5,غرفة بريمير مزدوجة مطلة على برج خليفة,أقمت 3 ليالي,“أتطلع للعودة لهذا للفندق مجدداً”. هادئ، موظفون ودودون، منظر رائع. 
214028,أجنحة لاندمارك - الأمير سلطان,4,-,أقمت ليلتين,جيد جداً. النظافه. 
148319,فندق فورتشن ديرة,2,غرفة قياسية توأم,أقمت 4 ليالي,“فندق لا يستحق الاقامه فيه”. لا يعجبني فيه شي وليس هناك شي يستحق ذلك. لايوجد فيه خدمات مثل انتر نت مواقف لسيارات الراحه . لايستحق الاقامه فيه
329756,روز جاردن للشقق الفندقية - البرشاء,4,-,أقمت 6 ليالي,“اقامة عائلية مميزة”. الموقع مميز جميع الخدمات بجوار الفندق. عدم عمل المطعم المقهى بعد الإفطار
189032,حياة ريجنسى مكة,4,غرفة توأم,أقمت ليلتين,“فندق راقي جداً”. الطاقم المكان البوفيه. السرير قاسي
206270,جميرا روتانا دبي,1,غرفة كنغ بريميوم,أقمت 4 ليالي,“نصيحه اخوية لا احد يحجز فيه”. سيّء جدا جدا ..بعيد عن كل شيء ،يعني اللي وفرناه في الفندق صرفناه على المواصلات. انصح اي احد ان لا يسكن فيه بعيد جدااااا عن كل شيء والمبلغ الموجود في البوكنغ غير مضاف له الضرايب و سحبوا ٦٠ درهم مني بعد ماعدت للبلاد من الفيزا
214343,لافينا للوحدات السكنية المفروشة,2,غرفة مزدوجة,أقمت ليلة واحدة,“تجربه فاشله”. . دور بدون مصعد درج شقق في السطوحالنظافة ضعيف جداً
218206,لو ميريديان المدينة,4,-,أقمت ليلتين,“الإقامة في فندق ميريديان من الأماكن الهادئة جدا”. اعجبني الالتزام بحجز الغرفة عن طريق ال booking وعدم الالغاء كما حصل مع بعض الفنادق الاخرى. الحديقة الخارجية تحتاج الى عناية واهتمام
169830,سيتي ستي أن للشقق الفندقية,4,-,أقمت 7 ليالي,“بشكل عام جيد”. الفندق جيد ونظيف والطاقم ودود ومتعاون الواي فاي مجاني وكويسحوض السباحة جيد للاطفالالفندق عائليبشكل عام الفندق جيد مقابل قيمته. تكييف غرفة النوم ٣٠٦ ليس بارد كفايةموقعه جيد لكن لا تمر سيارات التاكسي بجانبه
37983,آلوفت أبوظبي,2,غرفة مرتفعة,أقمت 7 ليالي,“مستحيل اسكن بهالفندق مره ثانيه”. للاسف لاشي. رائحه معفنه في لوبي الغرفخدمات قبيحه ومتاخرهعدم وجود  water hose في الحمامات الريسبشن مايرد عليك الا بعد طلوع الروحاكل المطعم سئ وغالي السعر
158123,جولدن تيوليب بريدة - القصيم,2,-,أقمت ليلة واحدة,مخيب للأمل. . لا يوجد عندهم نظام ولا يوجد عندهم دقة بالوقت ولابد ان تقوم بتذكيرهم عن الخدمات التي متفق عليها من قبل
154364,فندق جلوريا,5,جناح بغرفة نوم واحدة مطل على المدينة,أقمت 4 ليالي,استثنائي. كل ما ازور الفندق يزيد اعجابي فيه زياده روعه من جميع النواحي و شكر خاص لطاقم الاستقبال المبدعين  / محمد + عادل + نسرين + مريم. لا يوجد نهائيا
318982,فندق رامي جيست لاين ديرة,1,-,أقمت ليلة واحدة,ضعيف جداً. لم يعجبني شيء إطلاقا ... الفندق والغرف سيئة جداً مليئة بالحشرات في جميع أنحاء الغرفه ، ولا أنسى طاقم الفندق تعاملهم جاف وأخلاقهم أجلكم الله مثل اللي في رجلك ..الفندق قذاره لأبعد مدى ..
241125,فندق ماي فير,2,غرفة مزدوجة,أقمت ليلة واحدة,“أسوأ فندق في خدماته”. لايستحق السكن. كل شيء
344670,ساندراس ان,5,غرفة مفردة,أقمت ليلة واحدة,“ممتاز”. كل شي في الفندق جميل. النت ضعيف بعض الأحيان بس مع ذالك ممتاز
238934,مرمرة للشقق الفندقية,4,جناح بغرفة نوم واحدة مع تراس خاص.,أقمت ليلة واحدة,جيد. . لا يوجد خدمة احضار السيارة من الباركن
73459,فندق كارلتون المعيبد,4,غرفة سوبيريور مزدوجة,أقمت ليلة واحدة,جيد. قريب من الاسواق. المواقف محدوده
391197,توت هاوس,5,-,أقمت ليلة واحدة,“كل شي فيه رووووووعه”. جدا جدا رائع ونظافه ممتازه وخدمة جدا مميزه. 
262818,فندق المروة الجديد,1,غرفة قياسية ثلاثية,أقمت ليلة واحدة,“رائع جد وعصري”. الاستقبال سريع مواصلات للحرم متوفرة بقوة قهوة شاي ماء يوميا نظافة غرفة أدوات حمام كل ما تحتاج موجود بكثرة. لا شي
240916,فندق مودة الواحة,2,غرفة ثلاثية,أقمت ليلة واحدة,مخيب للأمل. احد الموظفين اسمه سنبل الفندق قائم عليه لو لم يكن موجود لخرجت من الفندق. الفندق بشكل عام لايوجد مناديل ولا خدمه للغرف والاضاءة ضعيفه جدا
201,فندق 72,5,غرفة قياسية مزدوجة,أقمت ليلة واحدة,استثنائي. النظافةوهدوء المكان أسلوب تعامل الموظفين كان طيب. ١-الواي فاي لا يعمل بشكل معقول مع الأيفون .٢.دفع مبلغ التأمين
154636,منتجع جولدن مارينا,5,-,أقمت ليلتين,“شكرا لطاقم العمل وللاستقبال”. الموقع والخدمات الابتسامه من طاقم العمل. لايوجد
16884,فندق الصفوة رويال اوركيد,2,غرفة رباعية مع إطلالة جانبية على الحرم الشريف,أقمت ليلتين,“المكان قريب”. قرب المكان لكن ادارة الفندق فاشلة وغير متعاونة. ادارة الفندق فاشلةخدمات ضعيفةطاقم العمل الاجانب متعجرفين والسعوديين متعاونيين
124545,ديونز للشقق الفندقية - البرشاء,2,-,أقمت ليلة واحدة,مخيب للأمل. قربه من مول الإمارات. الإزعاج من الطريق كذلك هناك مبنى تحت الإنشاء
146132,الديني للوحدات السكنيه المفروشه,4,غرفة مزدوجة,أقمت ليلة واحدة,“اتمنى ان تكونو في المستقبل ارقى وافظل وتكون اسعاركم ثابته ع طول السنة”. النظافة والهدوء. لايوجد هاتف ارضي
101433,كراون بلازا دبي,4,غرفة قياسية مزدوجة,أقمت 6 ليالي,جيد. 😐. 
147353,فندق ندى الضيافة,2,-,أقمت 3 ليالي,“مقبول ولكن لا يستحق المبلغ المدفوع”. اعجبتني الخدمه من قبل موظفي الاستقبال. قلة الخدمات وعدم توفر سرير لشخصين
218150,لو ميريديان المدينة,2,غرفة قياسية مزدوجة,أقمت ليلة واحدة,مخيب للأمل. . لا يوجد واي فاي مجاني طلبت سرير اطفال ولم يحضروه عفش قديم ومستهلك رائحه في الحمام سيئه
167094,جروفينور هاوس، دبي,5,-,أقمت ليلتين,“رائعه”. الموقع والنظافة وخدمة الغرف المتميزة. 
108333,فندق أبراج الصفوة – دار الغفران,5,غرفة سوبيريور مزدوجة,أقمت ليلتين,“تفرغ للعباده ودع عنك العناء مع فندق دار الغفران”. كل شيء مميز في فندق دار الغفران. لا شيء
4175,فندق مكارم أجياد مكة,2,غرفة قياسية مزدوجة,أقمت ليلتين,“مخيب للآمال”. السحور مقبول قربه من ساحات المسجد الحرام. الفندق قديم يحتاج تحديث اﻻدوات الصحيةيصعب استخدامها خصوصا الدش والسعر مبالغ فيه المواقف محدودة جدا وفي العراء الدور التاسع مزعج جدا والتكيف في الظهر غير فعال لقربه من السطح سيراميك الغرف غير ﻻئق بفندق مصنف 5 نجوم
224274,فندق لافندار الشارقة (فندق لوردز سابقًا),2,غرفة كابينة,أقمت 3 ليالي,ضعيف. . الغرف بارده ولا يوجد تدفىهالنت ضعيف
400155,والدورف أستوريا دبى بالم جميرا,5,غرفة ديلوكس كينغ - مع شرفة وإطلالة على البحر ونخلة جميرا,أقمت 5 ليالي,“المكان مريح وروعة”. . قليل من الازعاج
392125,فندق مكارم أم القرى,4,غرفة قياسية ثلاثية,أقمت 3 ليالي,جيد. الإستقبال ممتاز والموقع جيد جدا ورحابة الفندق جيد. تنظيف الغرف سيء عدم تشغيل المطعم الغداء والعشاءالغرف ضيقة لأربعة أسرة
153112,فندق غايا جراند,4,-,أقمت 7 ليالي,“جيد جدا”. موقع ممتازخدمة نظافة الغرف و الشقق ممتازةمرافق الفندق ممتازة. اسعار البوفيةخدمة الاستقبالقنوات التلفزيون كانت خارجالخدمة في الشقق والغرف معظم الوقتالنت في الغرف الفندقية سيئ جدا
349458,فندق قصر الشارقة,4,غرفة كلاسيكية كينغ,أقمت ليلة واحدة,“رائع”. النظافة الهدوء. 
124181,مركز دبي التجاري للشقق الفندقية,2,شقة ديلوكس من غرفة نوم واحدة,أقمت ليلة واحدة,مخيب للأمل. . الخدمه ضعيفه لا يوجد باركنات في نفس المبنى بعد
241234,بوتيك 7- مازون للشقق الفندقية سابقاً,4,-,أقمت 3 ليالي,جيد. . لا يوجد احد من طاقم الفندق يتكلم اللغه العربيه كما هو موضح في موقع الفندق
62068,فندق بست ويسترن الدمام,5,-,أقمت ليلة واحدة,“بست ويسترن”. مكان جميل ورائع. المطعم لايوجد به عشاء الا اصناف بسيطة وسعرها مرتفع جدا
341497,تايم روبي للشقق الفندقية,2,-,أقمت 5 ليالي,“سيئه”. الموقع فقط. الشقه ٣١٣ وسخه وريحه معفنه ولاتوجد مناشف ولاشوز النظافه سيئه والموظفين مايتكلمون عربي في صعوبه في التواصل معهم محسسيني اني بااروبا مو في دوله عربيه وخليجيه واستجابتهم معدومه تدق الين تمل ولااحد يستجيب معك ودخلو الشقه عمال النظافه بغيابنا واحنا ماطلبنا خدمه غرف وبصراحه انا لايمكن ازورهم مره ثانيه ولاانصح احد فيها والمفروض البوكينج يلغي حجز بدون استرداد لان ينطوي تحت الغش انا استاجر بدون مااشوف الشقه او الفندق
155837,جولدن توليب البرشاء,2,غرفة قياسية توأم,أقمت ليلة واحدة,“للأسف محبط جدا”. . ، الانترنت غير مجاني ، طاقم العمل غير مرحب للأسف ، يطلبون مبلغ تأمين قدره ٣٠٠درهم بطريقة مستفزه بخلاف الفنادق العالميه الفاخره ديكورات قديمه ، أخذوا زياده ٥٠ درهم على حجز بوكينق لأجل السرير يكون كينق بدل إثنين مفرد
76278,فندق تشيلسي بلازا,4,غرفة ديلوكس مزدوجة,أقمت 6 ليالي,جيد جداً. . ازعاج بالطابق السابع بسبب وجود ملهى ليلي في الطابق الثامن
248661,فندق ميلينيوم المطار دبي,4,غرفة ديلوكس كينغ أو توأم,أقمت ليلة واحدة,“فندق جيد”. القرب من المطار. تصرف الموظف ذو البشرة السودا حيث أعطاني غرفة سيئة وقامت الموظفة مريم بتغيريها فلها مني جزيل الشكر
73039,فندق كارلتون المعيبد,2,غرفة قياسية مزدوجة,أقمت ليلتين,“سيئ جدا جدا جدا جدا”. سيئ جدا. الاثاث قدييييم وكأنك في التسعينات !!طلبت سرير اضافي ولم يتم الرد لمدة 48 ساعة ندمت جدا جدا ، هناك فنادق افضل وارخص
180727,هوليداي إن بوابة جدة,5,غرفة ديلوكس مزدوجة,أقمت ليلتين,“راحة”. الفندق ممتاز جدا ونظيف والاستقبال متعاون. لايوحد
37879,آلوفت أبوظبي,4,غرفة مرتفعة,أقمت ليلتين,جيد. يوجد مسجد كبير ف الفندق و نظيف. اسوء خدمة صف سيارات في حياتي الغرفه المقابله غرفتي ازعاج رهيب واخبرت الاستقبال ولم يستجيبو لي
200927,إيفوري جراند للشقق الفندقية,4,-,أقمت ليلتين,جيد. قربه من مول الامارات. الرائحة الكريهه التي تنبعث من المكيفات وفي ممرات الفندق الاثاث مقبول وقديم نوعا ما التكيف في الغرفة الرئيسيه مشترك مع الصاله اندفاع الماء ضعيف في حمام بينما في الحمام الأخر الشور لا يعمل كنت اتوقع ان مستوى الفندق ارقى من ذلك بكثير هو جيد لذوي الدخل المحدود
